"Date","sulfate","nitrate","ID"
"2007-09-12",NA,NA,124
"2007-09-13",NA,NA,124
"2007-09-14",NA,NA,124
"2007-09-15",0.578,0.271,124
"2007-09-16",NA,NA,124
"2007-09-17",NA,NA,124
"2007-09-18",NA,NA,124
"2007-09-19",NA,NA,124
"2007-09-20",NA,NA,124
"2007-09-21",12.7,1.87,124
"2007-09-22",NA,NA,124
"2007-09-23",NA,NA,124
"2007-09-24",NA,NA,124
"2007-09-25",NA,NA,124
"2007-09-26",NA,NA,124
"2007-09-27",1.25,0.921,124
"2007-09-28",NA,NA,124
"2007-09-29",NA,NA,124
"2007-09-30",NA,NA,124
"2007-10-01",NA,NA,124
"2007-10-02",NA,NA,124
"2007-10-03",2.09,0.542,124
"2007-10-04",NA,NA,124
"2007-10-05",NA,NA,124
"2007-10-06",NA,NA,124
"2007-10-07",NA,NA,124
"2007-10-08",NA,NA,124
"2007-10-09",0.826,0.208,124
"2007-10-10",NA,NA,124
"2007-10-11",NA,NA,124
"2007-10-12",NA,NA,124
"2007-10-13",NA,NA,124
"2007-10-14",NA,NA,124
"2007-10-15",4.3,2.51,124
"2007-10-16",NA,NA,124
"2007-10-17",NA,NA,124
"2007-10-18",NA,NA,124
"2007-10-19",NA,NA,124
"2007-10-20",NA,NA,124
"2007-10-21",1.74,0.25,124
"2007-10-22",NA,NA,124
"2007-10-23",NA,NA,124
"2007-10-24",NA,NA,124
"2007-10-25",NA,NA,124
"2007-10-26",NA,NA,124
"2007-10-27",2.02,2.17,124
"2007-10-28",NA,NA,124
"2007-10-29",NA,NA,124
"2007-10-30",NA,NA,124
"2007-10-31",NA,NA,124
"2007-11-01",NA,NA,124
"2007-11-02",0.996,3.28,124
"2007-11-03",NA,NA,124
"2007-11-04",NA,NA,124
"2007-11-05",NA,NA,124
"2007-11-06",NA,NA,124
"2007-11-07",NA,NA,124
"2007-11-08",2.51,4.81,124
"2007-11-09",NA,NA,124
"2007-11-10",NA,NA,124
"2007-11-11",NA,NA,124
"2007-11-12",NA,NA,124
"2007-11-13",NA,NA,124
"2007-11-14",2.6,3.31,124
"2007-11-15",NA,NA,124
"2007-11-16",NA,NA,124
"2007-11-17",NA,NA,124
"2007-11-18",NA,NA,124
"2007-11-19",NA,NA,124
"2007-11-20",6.79,10.2,124
"2007-11-21",NA,NA,124
"2007-11-22",NA,NA,124
"2007-11-23",NA,NA,124
"2007-11-24",NA,NA,124
"2007-11-25",NA,NA,124
"2007-11-26",4.58,6.92,124
"2007-11-27",NA,NA,124
"2007-11-28",NA,NA,124
"2007-11-29",NA,NA,124
"2007-11-30",NA,NA,124
"2007-12-01",NA,NA,124
"2007-12-02",2.05,3.72,124
"2007-12-03",NA,NA,124
"2007-12-04",NA,NA,124
"2007-12-05",NA,NA,124
"2007-12-06",NA,NA,124
"2007-12-07",NA,NA,124
"2007-12-08",2.53,5.08,124
"2007-12-09",NA,NA,124
"2007-12-10",NA,NA,124
"2007-12-11",NA,NA,124
"2007-12-12",NA,NA,124
"2007-12-13",NA,NA,124
"2007-12-14",2.44,2.89,124
"2007-12-15",NA,NA,124
"2007-12-16",NA,NA,124
"2007-12-17",NA,NA,124
"2007-12-18",NA,NA,124
"2007-12-19",NA,NA,124
"2007-12-20",NA,NA,124
"2007-12-21",NA,NA,124
"2007-12-22",NA,NA,124
"2007-12-23",NA,NA,124
"2007-12-24",NA,NA,124
"2007-12-25",NA,NA,124
"2007-12-26",NA,NA,124
"2007-12-27",NA,NA,124
"2007-12-28",NA,NA,124
"2007-12-29",NA,NA,124
"2007-12-30",NA,NA,124
"2007-12-31",NA,NA,124
"2008-01-01",3.25,3.99,124
"2008-01-02",NA,NA,124
"2008-01-03",NA,NA,124
"2008-01-04",NA,NA,124
"2008-01-05",NA,NA,124
"2008-01-06",NA,NA,124
"2008-01-07",NA,NA,124
"2008-01-08",NA,NA,124
"2008-01-09",NA,NA,124
"2008-01-10",NA,NA,124
"2008-01-11",NA,NA,124
"2008-01-12",NA,NA,124
"2008-01-13",4.63,9.16,124
"2008-01-14",NA,NA,124
"2008-01-15",NA,NA,124
"2008-01-16",NA,NA,124
"2008-01-17",NA,NA,124
"2008-01-18",NA,NA,124
"2008-01-19",1.25,1.57,124
"2008-01-20",NA,NA,124
"2008-01-21",NA,NA,124
"2008-01-22",NA,NA,124
"2008-01-23",NA,NA,124
"2008-01-24",NA,NA,124
"2008-01-25",2.04,5.31,124
"2008-01-26",NA,NA,124
"2008-01-27",NA,NA,124
"2008-01-28",NA,NA,124
"2008-01-29",NA,NA,124
"2008-01-30",NA,NA,124
"2008-01-31",NA,7.19,124
"2008-02-01",NA,NA,124
"2008-02-02",NA,NA,124
"2008-02-03",NA,NA,124
"2008-02-04",NA,NA,124
"2008-02-05",NA,NA,124
"2008-02-06",NA,NA,124
"2008-02-07",NA,NA,124
"2008-02-08",NA,NA,124
"2008-02-09",NA,NA,124
"2008-02-10",NA,NA,124
"2008-02-11",NA,NA,124
"2008-02-12",NA,NA,124
"2008-02-13",NA,NA,124
"2008-02-14",NA,NA,124
"2008-02-15",NA,NA,124
"2008-02-16",NA,NA,124
"2008-02-17",NA,NA,124
"2008-02-18",2.36,1.43,124
"2008-02-19",NA,NA,124
"2008-02-20",NA,NA,124
"2008-02-21",NA,NA,124
"2008-02-22",NA,NA,124
"2008-02-23",NA,NA,124
"2008-02-24",4.78,9.09,124
"2008-02-25",NA,NA,124
"2008-02-26",NA,NA,124
"2008-02-27",NA,NA,124
"2008-02-28",NA,NA,124
"2008-02-29",NA,NA,124
"2008-03-01",2.55,1.72,124
"2008-03-02",NA,NA,124
"2008-03-03",NA,NA,124
"2008-03-04",NA,NA,124
"2008-03-05",NA,NA,124
"2008-03-06",NA,NA,124
"2008-03-07",1.47,2.92,124
"2008-03-08",NA,NA,124
"2008-03-09",NA,NA,124
"2008-03-10",NA,NA,124
"2008-03-11",NA,NA,124
"2008-03-12",NA,NA,124
"2008-03-13",NA,NA,124
"2008-03-14",NA,NA,124
"2008-03-15",NA,NA,124
"2008-03-16",NA,NA,124
"2008-03-17",NA,NA,124
"2008-03-18",NA,NA,124
"2008-03-19",3.5,2.79,124
"2008-03-20",NA,NA,124
"2008-03-21",NA,NA,124
"2008-03-22",NA,NA,124
"2008-03-23",NA,NA,124
"2008-03-24",NA,NA,124
"2008-03-25",3.01,2.82,124
"2008-03-26",NA,NA,124
"2008-03-27",NA,NA,124
"2008-03-28",NA,NA,124
"2008-03-29",NA,NA,124
"2008-03-30",NA,NA,124
"2008-03-31",NA,NA,124
"2008-04-01",NA,NA,124
"2008-04-02",NA,NA,124
"2008-04-03",NA,NA,124
"2008-04-04",NA,NA,124
"2008-04-05",NA,NA,124
"2008-04-06",4.17,2.66,124
"2008-04-07",NA,NA,124
"2008-04-08",NA,NA,124
"2008-04-09",NA,NA,124
"2008-04-10",NA,NA,124
"2008-04-11",NA,NA,124
"2008-04-12",NA,NA,124
"2008-04-13",NA,NA,124
"2008-04-14",NA,NA,124
"2008-04-15",NA,NA,124
"2008-04-16",NA,NA,124
"2008-04-17",NA,NA,124
"2008-04-18",5.13,1.56,124
"2008-04-19",NA,NA,124
"2008-04-20",NA,NA,124
"2008-04-21",NA,NA,124
"2008-04-22",NA,NA,124
"2008-04-23",NA,NA,124
"2008-04-24",2.01,1.23,124
"2008-04-25",NA,NA,124
"2008-04-26",NA,NA,124
"2008-04-27",NA,NA,124
"2008-04-28",NA,NA,124
"2008-04-29",NA,NA,124
"2008-04-30",2.71,1.72,124
"2008-05-01",NA,NA,124
"2008-05-02",NA,NA,124
"2008-05-03",NA,NA,124
"2008-05-04",NA,NA,124
"2008-05-05",NA,NA,124
"2008-05-06",2.73,1.44,124
"2008-05-07",NA,NA,124
"2008-05-08",NA,NA,124
"2008-05-09",NA,NA,124
"2008-05-10",NA,NA,124
"2008-05-11",NA,NA,124
"2008-05-12",2.13,0.66,124
"2008-05-13",NA,NA,124
"2008-05-14",NA,NA,124
"2008-05-15",NA,NA,124
"2008-05-16",NA,NA,124
"2008-05-17",NA,NA,124
"2008-05-18",0.795,0.179,124
"2008-05-19",NA,NA,124
"2008-05-20",NA,NA,124
"2008-05-21",NA,NA,124
"2008-05-22",NA,NA,124
"2008-05-23",NA,NA,124
"2008-05-24",1.6,0.553,124
"2008-05-25",NA,NA,124
"2008-05-26",NA,NA,124
"2008-05-27",NA,NA,124
"2008-05-28",NA,NA,124
"2008-05-29",NA,NA,124
"2008-05-30",4.53,1.51,124
"2008-05-31",NA,NA,124
"2008-06-01",NA,NA,124
"2008-06-02",NA,NA,124
"2008-06-03",NA,NA,124
"2008-06-04",NA,NA,124
"2008-06-05",2.98,1.21,124
"2008-06-06",NA,NA,124
"2008-06-07",NA,NA,124
"2008-06-08",NA,NA,124
"2008-06-09",NA,NA,124
"2008-06-10",NA,NA,124
"2008-06-11",NA,NA,124
"2008-06-12",NA,NA,124
"2008-06-13",NA,NA,124
"2008-06-14",NA,NA,124
"2008-06-15",NA,NA,124
"2008-06-16",NA,NA,124
"2008-06-17",0.736,0.221,124
"2008-06-18",NA,NA,124
"2008-06-19",NA,NA,124
"2008-06-20",NA,NA,124
"2008-06-21",NA,NA,124
"2008-06-22",NA,NA,124
"2008-06-23",NA,NA,124
"2008-06-24",NA,NA,124
"2008-06-25",NA,NA,124
"2008-06-26",NA,NA,124
"2008-06-27",NA,NA,124
"2008-06-28",NA,NA,124
"2008-06-29",NA,NA,124
"2008-06-30",NA,NA,124
"2008-07-01",NA,NA,124
"2008-07-02",NA,NA,124
"2008-07-03",NA,NA,124
"2008-07-04",NA,NA,124
"2008-07-05",NA,NA,124
"2008-07-06",NA,NA,124
"2008-07-07",NA,NA,124
"2008-07-08",NA,NA,124
"2008-07-09",NA,NA,124
"2008-07-10",NA,NA,124
"2008-07-11",NA,NA,124
"2008-07-12",NA,NA,124
"2008-07-13",NA,NA,124
"2008-07-14",NA,NA,124
"2008-07-15",NA,NA,124
"2008-07-16",NA,NA,124
"2008-07-17",NA,NA,124
"2008-07-18",NA,NA,124
"2008-07-19",NA,NA,124
"2008-07-20",NA,NA,124
"2008-07-21",NA,NA,124
"2008-07-22",NA,NA,124
"2008-07-23",NA,NA,124
"2008-07-24",NA,NA,124
"2008-07-25",NA,NA,124
"2008-07-26",NA,NA,124
"2008-07-27",NA,NA,124
"2008-07-28",NA,NA,124
"2008-07-29",NA,NA,124
"2008-07-30",NA,NA,124
"2008-07-31",NA,NA,124
"2008-08-01",NA,NA,124
"2008-08-02",NA,NA,124
"2008-08-03",NA,NA,124
"2008-08-04",NA,NA,124
"2008-08-05",NA,NA,124
"2008-08-06",NA,NA,124
"2008-08-07",NA,NA,124
"2008-08-08",NA,NA,124
"2008-08-09",NA,NA,124
"2008-08-10",NA,NA,124
"2008-08-11",NA,NA,124
"2008-08-12",NA,NA,124
"2008-08-13",NA,NA,124
"2008-08-14",NA,NA,124
"2008-08-15",NA,NA,124
"2008-08-16",NA,NA,124
"2008-08-17",NA,NA,124
"2008-08-18",NA,NA,124
"2008-08-19",NA,NA,124
"2008-08-20",NA,NA,124
"2008-08-21",NA,NA,124
"2008-08-22",NA,NA,124
"2008-08-23",NA,NA,124
"2008-08-24",NA,NA,124
"2008-08-25",NA,NA,124
"2008-08-26",NA,NA,124
"2008-08-27",NA,NA,124
"2008-08-28",NA,NA,124
"2008-08-29",NA,NA,124
"2008-08-30",NA,NA,124
"2008-08-31",NA,NA,124
"2008-09-01",NA,NA,124
"2008-09-02",NA,NA,124
"2008-09-03",NA,NA,124
"2008-09-04",NA,NA,124
"2008-09-05",NA,NA,124
"2008-09-06",NA,NA,124
"2008-09-07",NA,NA,124
"2008-09-08",NA,NA,124
"2008-09-09",NA,NA,124
"2008-09-10",NA,NA,124
"2008-09-11",NA,NA,124
"2008-09-12",NA,NA,124
"2008-09-13",NA,NA,124
"2008-09-14",NA,NA,124
"2008-09-15",NA,NA,124
"2008-09-16",NA,NA,124
"2008-09-17",NA,NA,124
"2008-09-18",NA,NA,124
"2008-09-19",NA,NA,124
"2008-09-20",NA,NA,124
"2008-09-21",NA,NA,124
"2008-09-22",NA,NA,124
"2008-09-23",NA,NA,124
"2008-09-24",NA,NA,124
"2008-09-25",NA,NA,124
"2008-09-26",NA,NA,124
"2008-09-27",NA,NA,124
"2008-09-28",NA,NA,124
"2008-09-29",NA,NA,124
"2008-09-30",NA,NA,124
"2008-10-01",NA,NA,124
"2008-10-02",NA,NA,124
"2008-10-03",NA,NA,124
"2008-10-04",NA,NA,124
"2008-10-05",NA,NA,124
"2008-10-06",NA,NA,124
"2008-10-07",NA,NA,124
"2008-10-08",NA,NA,124
"2008-10-09",NA,NA,124
"2008-10-10",NA,NA,124
"2008-10-11",NA,NA,124
"2008-10-12",NA,NA,124
"2008-10-13",NA,NA,124
"2008-10-14",NA,NA,124
"2008-10-15",NA,NA,124
"2008-10-16",NA,NA,124
"2008-10-17",NA,NA,124
"2008-10-18",NA,NA,124
"2008-10-19",NA,NA,124
"2008-10-20",NA,NA,124
"2008-10-21",NA,NA,124
"2008-10-22",NA,NA,124
"2008-10-23",NA,NA,124
"2008-10-24",NA,NA,124
"2008-10-25",NA,NA,124
"2008-10-26",NA,NA,124
"2008-10-27",NA,NA,124
"2008-10-28",NA,NA,124
"2008-10-29",NA,NA,124
"2008-10-30",NA,NA,124
"2008-10-31",NA,NA,124
"2008-11-01",NA,NA,124
"2008-11-02",NA,NA,124
"2008-11-03",NA,NA,124
"2008-11-04",NA,NA,124
"2008-11-05",NA,NA,124
"2008-11-06",NA,NA,124
"2008-11-07",NA,NA,124
"2008-11-08",NA,NA,124
"2008-11-09",NA,NA,124
"2008-11-10",NA,NA,124
"2008-11-11",NA,NA,124
"2008-11-12",NA,NA,124
"2008-11-13",NA,NA,124
"2008-11-14",NA,NA,124
"2008-11-15",NA,NA,124
"2008-11-16",NA,NA,124
"2008-11-17",NA,NA,124
"2008-11-18",NA,NA,124
"2008-11-19",NA,NA,124
"2008-11-20",NA,NA,124
"2008-11-21",NA,NA,124
"2008-11-22",NA,NA,124
"2008-11-23",NA,NA,124
"2008-11-24",NA,NA,124
"2008-11-25",NA,NA,124
"2008-11-26",NA,NA,124
"2008-11-27",NA,NA,124
"2008-11-28",NA,NA,124
"2008-11-29",NA,NA,124
"2008-11-30",NA,NA,124
"2008-12-01",NA,NA,124
"2008-12-02",NA,NA,124
"2008-12-03",NA,NA,124
"2008-12-04",NA,NA,124
"2008-12-05",NA,NA,124
"2008-12-06",NA,NA,124
"2008-12-07",NA,NA,124
"2008-12-08",NA,NA,124
"2008-12-09",NA,NA,124
"2008-12-10",NA,NA,124
"2008-12-11",NA,NA,124
"2008-12-12",NA,NA,124
"2008-12-13",NA,NA,124
"2008-12-14",NA,NA,124
"2008-12-15",NA,NA,124
"2008-12-16",NA,NA,124
"2008-12-17",NA,NA,124
"2008-12-18",NA,NA,124
"2008-12-19",NA,NA,124
"2008-12-20",NA,NA,124
"2008-12-21",NA,NA,124
"2008-12-22",NA,NA,124
"2008-12-23",NA,NA,124
"2008-12-24",NA,NA,124
"2008-12-25",NA,NA,124
"2008-12-26",NA,NA,124
"2008-12-27",NA,NA,124
"2008-12-28",NA,NA,124
"2008-12-29",NA,NA,124
"2008-12-30",NA,NA,124
"2008-12-31",NA,NA,124
